permno,SICCD,NCUSIP,TICKER,COMNAM
10875,3441,00750010,AROS,ADVANCE ROSS CORP
10876,,,,
10877,,,,
10878,,,,
10879,5030,39921510,GROS,GROSSMANS INC
10880,,,,
10881,,,,
10883,,,,
10884,,,,
10885,,,,
10886,,,,
10887,,,,
10888,,,,
10889,,,,
10890,3570,,,BURROUGHS CORP
10891,3079,00750910,ACTC,ADVANCED CHEMICAL TECHNOLOGY
10892,,,,
10893,,,,
10894,,,,
10895,,,,
10896,,,,
10897,,,,
10898,,,,
10899,,,,
10900,,,,
10901,,,,
10902,,,,
10904,,,,
10905,,,,
10906,,,,
10907,4830,29670410,ESSX,ESSEX COMMUNICATIONS CORP
10908,,,,
10909,,,,
10910,,,,
10911,4220,,,BUSH TERMINAL CO
10912,7379,00751810,ACTP,ADVANCED COMPUTER TECHNIQUES
10913,,,,
10914,,,,
10915,,,,
10916,6710,20362810,CBKI,COMMUNITY BANKS INC PA
10917,,,,
10918,,,,
10919,,,,
10920,,,,
10921,,,,
10922,,,,
10923,,,,
10924,,,,
10925,,,,
10926,,,,
10927,,,,
10928,,,,
10929,,,,
10930,,,,
10931,,,,
10932,,,,
10933,,,,
10934,,,,
10935,,,,
10936,,,,
10937,,,,
10938,3310,,,BYERS A M CO
10939,3573,00752710,,ADVANCED DIGITAL SYS INC
10940,2090,89013310,TMSN,TOMSUN FOODS INTL INC
10941,,,,
10942,,,,
10943,,,,
10944,,,,
10945,,,,
10947,,,,
10948,,,,
10949,,,,
10950,,,,
10951,,,,
10952,,,,
10953,,,,
10954,1000,,,BUTTE COPPER & ZINC CO
10955,Z,00753810,ADME,ADVANCED MEDICAL SCIENCES INC
10956,,,,
10957,,,,
10958,,,,
10959,6120,46176510,INVS,INVESTORS SAVINGS CORP MINTKA MN
10960,,,,
10961,,,,
10963,,,,
10964,,,,
10965,,,,
10966,,,,
10967,,,,
10968,,,,
10969,,,,
10970,6140,,,C I T FINANCIAL CORP
10971,3651,00755110,ADVN,ADVENT CORP
10972,,,,
10973,,,,
10974,,,,
10975,,,,
10976,,,,
10977,6020,88948010,TOBK,TOLLAND BANK F S B CT
10978,,,,
10979,,,,
10980,,,,
10981,,,,
10982,,,,
10983,,,,
10984,,,,
10985,,,,
10986,2830,02091010,ALBM,ALPHA 1 BIOMEDICALS INC
10987,7370,74991110,RABT,RABBIT SOFTWARE CORP
10988,,,,
10989,2040,,,CORN PRODUCTS CO
10990,2741,00755710,AUNL,ADVERTISING UNLIMITED LTD
10991,,,,
10992,,,,
10993,,,,
10994,,,,
10995,,,,
10996,,,,
10998,,,,
10999,,,,
11000,,,,
11001,,,,
11002,,,,
11003,1311,16524K10,CHKM,CHESAPEAKE MIDSTREAM PTNRS L P
11004,,,,
11005,,,,
11006,,,,
11007,,,,
11008,,,,
11010,5088,00769810,AESM,AERO SYSTEMS INC
11011,,,,
11012,,,,
11013,,,,
11014,,,,
11015,,,,
11016,,,,
11017,1000,,,CALLAHAN MINING CORP
11018,6020,31993610,FFPR,FIRST FEDERAL SVGS BK P R SAN JU
11019,,,,
11020,7390,65381810,NRES,NICHOLS RESEARCH CORP
11021,,,,
11022,,,,
11023,,,,
11024,,,,
11026,7996,00790510,ADLA,ADVENTURE LANDS OF AMERICA INC
11027,,,,
11028,,,,
11029,,,,
11030,,,,
11031,,,,
11032,,,,
11033,3350,,,CALUMET & HECLA INC
11034,1389,00791010,AMSI,ADVANCED MONITORING SYS INC
11035,,,,
11036,,,,
11037,,,,
11038,,,,
11039,2830,25468H10,DDII,DISEASE DETECTION INTL INC
11040,,,,
11041,4000,,,CANADIAN PACIFIC RAILWAY CO
11042,7011,00791110,ADCO,ADVANTAGE COS INC
11043,8010,74437510,PCMC,PSYCHEMEDICS CORP
11044,,,,
11045,,,,
11046,,,,
11047,,,,
11048,,,,
11049,,,,
11050,,,,
11051,,,,
11052,,,,
11053,,,,
11054,,,,
11055,,,,
11056,,,,
11057,,,,
11058,,,,
11059,,,,
11060,,,,
11061,6726,25459W21,FCGS,DIREXION SHARES E T F TRUST
11062,,,,
11063,,,,
11064,,,,
11065,,,,
11066,,,,
11067,,,,
11068,3520,,,CASE J I CO
11069,4582,00791310,AERO,AERO SERVICES INTERNATIONAL INC
11070,,,,
11071,,,,
11072,,,,
11073,,,,
11074,,,,
11075,,,,
11076,4000,,,CENTRAL RR CO N J
11077,3674,00791410,ASMIF,ADVANCED SEMICONDUCTOR MATL IN
11078,,,,
11079,,,,
11080,,,,
11081,,,,
11082,,,,
11083,,,,
11084,2210,,,CENTURY INDS INC
11085,5065,00791510,AVNT,ADVANT CORP
11086,,,,
11087,,,,
11088,,,,
11089,,,,
11090,,,,
11091,,,,
11092,3350,,,CERRO DE PASCO CORP
11093,Z,98339810,WYNA,WYOMING NATIONAL CORP
11094,,,,
11095,,,,
11096,,,,
11097,,,,
11098,,,,
11099,,,,
11100,,,,
11101,,,,
11102,,,,
11103,,,,
11104,,,,
11105,2990,,,CERTAIN TEED PRODS CORP
11106,,,,
11107,,,,
11108,,,,
11109,,,,
11110,,,,
11111,,,,
11112,,,,
11113,2310,,,CHADBOURN GOTHAM INC
11114,,,,
11115,,,,
11116,,,,
11117,,,,
11118,,,,
11119,,,,
11119,2830,68231110,ONCR,ONCOR INC
11120,,,,
11122,,,,
11123,,,,
11124,,,,
11125,,,,
11126,,,,
11127,,,,
11128,,,,
11129,,,,
11130,,,,
11131,,,,
11132,,,,
11133,,,,
11134,,,,
11135,,,,
11136,,,,
11137,,,,
11138,,,,
11139,,,,
11140,,,,
11141,,,,
11142,,,,
11143,,,,
11144,,,,
11145,,,,
11146,,,,
11147,,,,
11148,4000,,,DELAWARE & HUDSON CO
11149,,,,
11150,,,,
11151,,,,
11152,2830,25246110,DSIC,DIAGNOSTIC SCIENCES INC NEW
11153,,,,
11154,,,,
11155,3680,83169210,SMRT,SMARTCARD INTERNATIONAL INC
11156,4000,,,CHESAPEAKE & OHIO RAILWAY CO
11157,3811,00801530,ASON,AEROSONIC CORP DEL
11158,,,,
11159,,,,
11160,,,,
11161,,,,
11162,,,,
11163,,,,
11164,3540,,,CHICAGO PNEUMATIC TOOL CO
11165,3662,00805010,,AEROTRON INC
11166,,,,
11167,3840,98414310,XMED,XTRAMEDICS INC
11168,,,,
11169,,,,
11170,,,,
